Rank,Player,Bye,Best,Worst,Ave,Std Dev,ADP
1,Rob Gronkowski NE,9,1,3,1.2,0.6,1
2,Travis Kelce KC,10,1,4,2.1,0.6,2
3,Jordan Reed WAS,5,1,4,3.3,0.8,3
4,Greg Olsen CAR,11,2,7,3.7,1,4
5,Jimmy Graham SEA,6,4,9,5.6,1.3,5
6,Tyler Eifert CIN,6,5,12,6.3,1.4,7
7,Delanie Walker TEN,8,5,13,7.7,1.7,6
8,Kyle Rudolph MIN,9,4,12,8.4,1.8,8
9,Martellus Bennett GB,8,6,12,8.5,1.4,9
10,Zach Ertz PHI,10,6,13,10.9,1.8,11
11,Hunter Henry LAC,9,7,13,11,1.5,10
12,Eric Ebron DET,7,6,15,11.3,2,14
13,Jack Doyle IND,11,9,16,12,1.8,13
14,Coby Fleener NO,5,10,25,16.1,4,19
15,Jason Witten DAL,6,14,22,17.3,2.4,16
16,Cameron Brate TB,11,12,29,18.4,3.8,23
17,Antonio Gates LAC,9,14,26,18.4,3.4,21
18,C.J. Fiedorowicz HOU,7,14,28,18.5,3.5,20
19,Julius Thomas MIA,11,13,25,18.6,3.4,15
20,Austin Hooper ATL,5,14,28,19.7,4,24
21,O.J. Howard TB,11,13,34,21.2,4.8,12
22,David Njoku CLE,9,14,32,22.6,4.1,17
23,Zach Miller CHI,9,16,31,23.3,4.2,
24,Jared Cook OAK,10,17,33,23.4,3.7,22
25,Dwayne Allen NE,9,17,37,25.4,4.9,
26,Ladarius Green FA,,15,102,39.4,22.1,
27,Evan Engram NYG,8,19,36,25.8,4.2,18
28,Jesse James PIT,9,20,43,28.2,5.7,
29,Austin Seferian-Jenkins NYJ,11,20,62,32.1,9.3,
30,Tyler Higbee LAR,8,20,39,30.3,5,
31,Charles Clay BUF,6,20,30,25.6,2.9,
32,Benjamin Watson BAL,10,21,45,33.4,6.2,
33,Jermaine Gresham ARI,8,23,49,32.6,5.6,
34,A.J. Derby DEN,5,23,41,31.4,5.2,
35,Vance McDonald SF,11,25,34,30.4,2.7,
36,Gary Barnidge FA,,26,48,37.3,6.7,
37,Maxx Williams BAL,10,27,70,46.7,12.6,
38,Dion Sims CHI,9,27,60,41.4,9.1,
39,Lance Kendricks GB,8,27,58,41.3,8.5,
40,Gerald Everett LAR,8,27,48,35.8,5.7,
41,Vernon Davis WAS,5,28,42,33.8,4.2,
42,Erik Swoope IND,11,28,38,34,3.2,
43,Clive Walford OAK,10,32,49,43.1,5.4,
44,Seth DeValve CLE,9,32,43,37.8,3.4,
45,Adam Shaheen CHI,9,33,61,43.8,8.3,
46,Will Tye NYG,8,34,50,42.9,5.8,
47,Virgil Green DEN,5,35,60,43.1,7.3,
48,Marcedes Lewis JAC,8,35,57,42.3,5.8,
49,Jordan Leggett NYJ,11,35,53,43.9,6.7,
50,Mychal Rivera JAC,8,35,52,45.8,5.4,
51,Ryan Griffin HOU,7,37,53,41.3,5.6,
52,Michael Roberts DET,7,38,81,58,17.7,
53,Josh Hill NO,5,39,52,44.5,4.7,
54,Jake Butt DEN,5,40,90,57,17.8,
55,Stephen Anderson HOU,7,41,77,56,14.9,
56,Xavier Grimble PIT,9,41,52,47.4,4,
57,Crockett Gillmore BAL,10,41,51,47,4,
58,Trey Burton PHI,10,43,55,48.3,5.1,
59,Richard Rodgers GB,8,44,70,55.4,9.2,
60,Demetrius Harris KC,10,47,52,49.5,2.5,
61,Garrett Celek SF,11,48,68,56,6.6,
62,Anthony Fasano MIA,11,48,66,58,6.8,
63,George Kittle SF,11,48,61,52.3,5.2,
64,Brent Celek PHI,10,50,71,63.3,9.5,
65,Rhett Ellison NYG,8,50,69,61.7,8.3,
66,Daniel Brown CHI,9,51,100,75.5,24.5,
67,Bucky Hodges MIN,9,51,83,64.8,12,
68,Jonnu Smith TEN,8,51,65,56.4,5.6,
69,Eric Saubert ATL,5,53,78,65.5,12.5,
70,Niles Paul WAS,5,54,82,69.3,11.6,
71,Nick O'Leary BUF,6,54,54,54,0,
72,Luke Willson SEA,6,56,56,56,0,
73,Phillip Supernaw TEN,8,57,85,71.7,11.5,
74,David Johnson PIT,9,57,75,68.3,8.1,
75,Rico Gathers DAL,6,57,64,60.5,3.5,
76,C.J. Uzomah CIN,6,57,63,60,3,
77,Levine Toilolo ATL,5,58,69,62.3,4.8,
78,Ed Dickson CAR,11,59,64,61.7,2.1,
79,Jeff Heuerman DEN,5,63,93,79.7,12.5,
80,Jace Amaro TEN,8,64,89,76.5,12.5,
81,Ben Koyack JAC,8,65,77,71,6,
82,Brandon Myers FA,,67,103,85,18,
83,Michael Hoomanawanui NO,5,71,84,77.5,6.5,
84,Nick Vannett SEA,6,72,75,73.5,1.5,
85,Gavin Escobar KC,10,74,86,80,6,
86,Tyler Kroft CIN,6,76,76,76,0,
87,Ifeanyi Momah ARI,8,78,79,78.5,0.5,
88,James O'Shaughnessy NE,9,79,92,85.5,6.5,
89,David Morgan MIN,9,80,91,85.5,5.5,
90,MarQueis Gray MIA,11,81,88,84.5,3.5,
91,Jerell Adams NYG,8,82,86,84,2,
92,Geoff Swaim DAL,6,84,90,87,3,
93,Randall Telfer CLE,9,87,87,87,0,